Neighborhood,Time Period,Median Home Price,Number of Sales,Days on Market,Price per Square Foot,Inventory Levels,Year-over-Year Price Change
Chanakyapuri,2022-04,12111907,70,36,7739,295,3.82
Chanakyapuri,2022-05,12503368,72,76,7610,467,3.23
Chanakyapuri,2022-06,12807030,30,49,8420,235,2.43
Chanakyapuri,2022-07,13143995,57,76,9808,437,2.63
Chanakyapuri,2022-08,12527615,79,85,6323,199,-4.69
Chanakyapuri,2022-09,13480517,59,55,12199,69,7.61
Chanakyapuri,2022-10,13164371,86,82,6761,431,-2.35
Chanakyapuri,2022-11,14205466,41,40,8956,434,7.91
Chanakyapuri,2022-12,13818497,82,23,10138,372,-2.72
Chanakyapuri,2023-01,14278604,46,53,12183,385,3.33
Chanakyapuri,2023-02,13645985,19,63,6884,86,-4.43
Chanakyapuri,2023-03,13746516,32,71,12681,230,0.74
Chanakyapuri,2023-04,13760664,79,32,8736,179,0.1
Chanakyapuri,2023-05,13468412,41,15,10941,497,-2.12
Chanakyapuri,2023-06,12835873,81,26,8661,392,-4.7
Chanakyapuri,2023-07,13533518,22,28,6997,215,5.44
Chanakyapuri,2023-08,14486400,55,62,7548,302,7.04
Chanakyapuri,2023-09,15571163,35,87,8867,189,7.49
Chanakyapuri,2023-10,16084238,38,64,12401,204,3.3
Chanakyapuri,2023-11,15439093,29,22,13039,147,-4.01
Chanakyapuri,2023-12,15238829,41,36,9850,216,-1.3
Dwarka,2021-01,7287699,46,70,4119,323,-1.81
Dwarka,2021-02,7229815,34,47,3963,395,-0.79
Dwarka,2021-03,7422506,52,76,8701,226,2.67
Dwarka,2021-04,7379432,29,55,8347,436,-0.58
Dwarka,2021-05,7781194,13,84,8742,66,5.44
Dwarka,2021-06,7731035,117,33,6469,202,-0.64
Dwarka,2021-07,7552925,52,51,4240,77,-2.3
Dwarka,2021-08,7757507,71,88,6022,249,2.71
Dwarka,2021-09,7734874,39,46,8546,118,-0.29
Dwarka,2021-10,8050729,79,25,4333,326,4.08
Dwarka,2021-11,8337605,95,16,6403,286,3.56
Dwarka,2021-12,8291478,24,38,6697,68,-0.55
Dwarka,2022-01,8351026,92,67,6612,325,0.72
Dwarka,2022-02,8515685,82,80,4578,124,1.97
Dwarka,2022-03,8877499,23,49,9394,244,4.25
Dwarka,2022-04,8609751,57,50,8705,277,-3.02
Dwarka,2022-05,9012973,56,63,5396,231,4.68
Dwarka,2022-06,9402991,29,48,5932,98,4.33
Dwarka,2022-07,9536998,56,31,6783,197,1.43
Dwarka,2022-08,9535174,12,86,5757,390,-0.02
Dwarka,2022-09,9350609,25,18,6111,292,-1.94
Dwarka,2022-10,9189108,40,22,11018,432,-1.73
Dwarka,2022-11,9775890,74,42,8895,426,6.39
Dwarka,2022-12,9843817,50,33,9419,376,0.69
Dwarka,2023-01,10231326,33,88,5572,470,3.94
Dwarka,2023-02,10029279,78,79,8309,154,-1.97
Dwarka,2023-03,9898535,118,57,5420,319,-1.3
Dwarka,2023-04,10401376,32,24,11006,453,5.08
Dwarka,2023-05,10921258,93,73,6779,403,5.0
Dwarka,2023-06,11599869,106,59,10770,122,6.21
Dwarka,2023-07,11331320,24,19,12905,240,-2.32
Dwarka,2023-08,11719547,52,84,7624,382,3.43
Dwarka,2023-09,12486914,77,27,12387,319,6.55
Dwarka,2023-10,12180578,69,47,6670,417,-2.45
Dwarka,2023-11,11874377,77,88,13570,180,-2.51
Dwarka,2023-12,11774593,110,49,8205,365,-0.84
Nehru Place,2021-01,13382726,67,50,12892,407,-3.64
Nehru Place,2021-02,14230040,103,51,17567,236,6.33
Nehru Place,2021-03,14215723,105,38,16453,454,-0.1
Nehru Place,2021-04,14766238,119,52,16425,120,3.87
Nehru Place,2021-05,15445811,101,42,16293,432,4.6
Nehru Place,2021-06,16444896,22,33,11822,370,6.47
Nehru Place,2021-07,15825430,12,20,19043,407,-3.77
Nehru Place,2021-08,16896557,84,48,8911,238,6.77
Nehru Place,2021-09,18066176,96,19,11383,362,6.92
Nehru Place,2021-10,19493100,49,62,24366,185,7.9
Nehru Place,2021-11,20455603,111,23,21330,70,4.94
Nehru Place,2021-12,21963526,120,85,15402,137,7.37
Nehru Place,2022-01,20984794,114,37,12795,404,-4.46
Nehru Place,2022-02,22471034,32,56,12319,446,7.08
Nehru Place,2022-03,22742093,88,71,24800,428,1.21
Nehru Place,2022-04,23535957,63,83,16333,171,3.49
Nehru Place,2022-05,24451448,31,28,22309,475,3.89
Nehru Place,2022-06,25368540,59,59,22711,186,3.75
Nehru Place,2022-07,25664525,46,18,17352,363,1.17
Nehru Place,2022-08,25916022,95,26,13310,468,0.98
Nehru Place,2022-09,26174192,102,47,16714,151,1.0
Nehru Place,2022-10,25495405,41,53,14404,368,-2.59
Nehru Place,2022-11,25029528,36,38,21429,376,-1.83
Nehru Place,2022-12,26538915,37,68,14901,86,6.03
Nehru Place,2023-01,28302315,47,55,22714,429,6.64
Nehru Place,2023-02,29786278,114,33,25306,303,5.24
Nehru Place,2023-03,29599957,111,33,20815,424,-0.63
Nehru Place,2023-04,31418707,30,80,15780,216,6.14
Nehru Place,2023-05,31050230,66,50,18990,89,-1.17
Nehru Place,2023-06,33180070,24,60,23170,103,6.86
Nehru Place,2023-07,31779452,70,59,20436,357,-4.22
Nehru Place,2023-08,30863943,99,31,18492,161,-2.88
Nehru Place,2023-09,33273038,96,51,34196,220,7.81
Nehru Place,2023-10,33316460,84,80,23763,453,0.13
Nehru Place,2023-11,33864454,102,74,41653,51,1.64
Nehru Place,2023-12,35108926,38,58,22234,382,3.67
Preet Vihar,2021-01,9276716,16,63,9175,255,5.38
Preet Vihar,2021-02,9848406,38,59,6872,64,6.16
Preet Vihar,2021-03,9554879,87,87,9005,483,-2.98
Preet Vihar,2021-04,10047657,33,75,9320,380,5.16
Preet Vihar,2021-05,9859085,58,37,5145,465,-1.88
Preet Vihar,2021-06,10120400,33,69,5527,256,2.65
Preet Vihar,2021-07,10820339,117,86,7921,293,6.92
Preet Vihar,2021-08,11102390,114,40,7947,226,2.61
Preet Vihar,2021-09,10589968,75,45,6034,254,-4.62
Preet Vihar,2021-10,10600003,15,61,10162,110,0.09
Preet Vihar,2021-11,10783901,74,65,7488,423,1.73
Preet Vihar,2021-12,11376715,61,69,12957,69,5.5
Preet Vihar,2022-01,11935963,102,80,7670,246,4.92
Preet Vihar,2022-02,11885279,68,31,13629,402,-0.42
Preet Vihar,2022-03,12437716,109,71,7429,76,4.65
Preet Vihar,2022-04,12677712,77,77,15182,218,1.93
Preet Vihar,2022-05,12835326,113,21,8919,384,1.24
Preet Vihar,2022-06,12791803,101,47,6553,139,-0.34
Preet Vihar,2022-07,12807614,102,47,8653,340,0.12
Preet Vihar,2022-08,13273302,22,77,13366,310,3.64
Preet Vihar,2022-09,13729497,74,73,6881,369,3.44
Preet Vihar,2022-10,13323141,93,81,9661,318,-2.96
Preet Vihar,2022-11,14004874,35,22,14232,218,5.12
Preet Vihar,2022-12,15046125,92,77,14167,397,7.43
Preet Vihar,2023-01,14360058,45,47,15745,381,-4.56
Preet Vihar,2023-02,14308105,91,73,15501,423,-0.36
Preet Vihar,2023-03,14668451,41,79,13395,199,2.52
Preet Vihar,2023-04,14123238,95,39,7601,383,-3.72
Preet Vihar,2023-05,14955443,85,35,9865,336,5.89
Preet Vihar,2023-06,14704254,107,38,15560,382,-1.68
Preet Vihar,2023-07,14786155,42,43,8219,102,0.56
Preet Vihar,2023-08,14849154,63,18,7987,380,0.43
Preet Vihar,2023-09,14547419,118,68,8711,431,-2.03
Preet Vihar,2023-10,14008095,39,62,9072,300,-3.71
Preet Vihar,2023-11,14911365,53,83,10102,104,6.45
Preet Vihar,2023-12,14473762,60,75,15414,417,-2.93
Pitampura,2021-01,13701599,23,24,7680,383,6.3
Pitampura,2021-02,13489929,91,19,10638,194,-1.54
Pitampura,2021-03,13700887,81,49,11770,238,1.56
Pitampura,2021-04,13710056,29,25,9133,457,0.07
Pitampura,2021-05,14411448,33,65,10120,405,5.12
Pitampura,2021-06,13773972,108,31,7534,259,-4.42
Pitampura,2021-07,14792370,27,56,11343,410,7.39
Pitampura,2021-08,15974875,47,36,8260,494,7.99
Pitampura,2021-09,15815284,31,19,9314,244,-1.0
Pitampura,2021-10,16970330,94,52,16818,59,7.3
Pitampura,2021-11,18168269,52,19,11797,456,7.06
Pitampura,2021-12,18136770,47,64,16021,129,-0.17
Pitampura,2022-01,18162908,42,25,15199,407,0.14
Pitampura,2022-02,18266096,59,21,13500,331,0.57
Pitampura,2022-03,17972482,31,81,14743,88,-1.61
Pitampura,2022-04,17297028,45,34,9324,207,-3.76
Pitampura,2022-05,16879680,21,23,10156,425,-2.41
Pitampura,2022-06,18193674,107,63,15917,191,7.78
Pitampura,2022-07,18250208,109,56,20786,408,0.31
Pitampura,2022-08,18769862,70,51,14826,113,2.85
Pitampura,2022-09,18197435,48,37,19175,175,-3.05
Pitampura,2022-10,18990660,68,34,19143,347,4.36
Pitampura,2022-11,19225212,113,35,10336,260,1.24
Pitampura,2022-12,19186922,76,55,12112,173,-0.2
Pitampura,2023-01,19782867,35,54,11240,401,3.11
Pitampura,2023-02,19835592,102,56,14693,112,0.27
Pitampura,2023-03,19518786,26,80,10014,333,-1.6
Pitampura,2023-04,19662722,114,90,12540,377,0.74
Pitampura,2023-05,20109623,105,29,10457,162,2.27
Pitampura,2023-06,20972304,105,69,24789,490,4.29
Pitampura,2023-07,21892251,80,87,12855,391,4.39
Pitampura,2023-08,21442513,118,73,16791,180,-2.05
Pitampura,2023-09,20473774,66,49,15569,97,-4.52
Pitampura,2023-10,19829969,49,39,16043,234,-3.14
Pitampura,2023-11,21335859,26,25,20397,326,7.59
Pitampura,2023-12,22983715,112,58,18839,418,7.72
Rajouri Garden,2021-01,12770949,15,52,8001,424,2.08
Rajouri Garden,2021-02,12679689,58,32,11025,211,-0.71
Rajouri Garden,2021-03,13336624,69,21,8694,240,5.18
Rajouri Garden,2021-04,13495207,117,54,7342,265,1.19
Rajouri Garden,2021-05,13101057,85,41,9791,440,-2.92
Rajouri Garden,2021-06,13207032,77,17,15042,236,0.81
Rajouri Garden,2021-07,13157768,41,28,9099,289,-0.37
Rajouri Garden,2021-08,13265024,10,49,7606,319,0.82
Rajouri Garden,2021-09,12738047,32,81,11373,439,-3.97
Rajouri Garden,2021-10,13546901,65,77,7785,268,6.35
Rajouri Garden,2021-11,13901679,117,52,16374,129,2.62
Rajouri Garden,2021-12,13460697,80,44,7268,105,-3.17
Rajouri Garden,2022-01,14511931,78,88,11399,431,7.81
Rajouri Garden,2022-02,14688958,44,40,8940,490,1.22
Rajouri Garden,2022-03,15723922,12,87,7941,78,7.05
Rajouri Garden,2022-04,16037629,26,82,12223,427,2.0
Rajouri Garden,2022-05,17143403,34,46,9104,448,6.89
Rajouri Garden,2022-06,18112128,33,64,22640,304,5.65
Rajouri Garden,2022-07,19009767,33,54,10819,311,4.96
Rajouri Garden,2022-08,18455478,51,40,10637,367,-2.92
Rajouri Garden,2022-09,19382135,32,83,11832,122,5.02
Rajouri Garden,2022-10,20825811,56,90,16032,374,7.45
Rajouri Garden,2022-11,21545898,72,75,24708,152,3.46
Rajouri Garden,2022-12,22118985,75,32,19002,137,2.66
Rajouri Garden,2023-01,22880745,37,63,11620,97,3.44
Rajouri Garden,2023-02,24049228,87,81,28974,99,5.11
Rajouri Garden,2023-03,25798017,34,43,17840,297,7.27
Rajouri Garden,2023-04,26664083,96,78,19100,190,3.36
Rajouri Garden,2023-05,28527413,11,64,19674,332,6.99
Rajouri Garden,2023-06,28806729,72,43,22435,212,0.98
Rajouri Garden,2023-07,30735586,15,37,17315,150,6.7
Rajouri Garden,2023-08,29237756,33,48,17239,261,-4.87
Rajouri Garden,2023-09,29876350,19,61,24289,319,2.18
Rajouri Garden,2023-10,28974664,49,61,19900,99,-3.02
Rajouri Garden,2023-11,27981201,118,67,26077,268,-3.43
Rajouri Garden,2023-12,27279130,52,34,19457,129,-2.51
Karol Bagh,2021-01,11249859,51,73,5920,353,-1.84
Karol Bagh,2021-02,10767672,63,18,5776,213,-4.29
Karol Bagh,2021-03,11154329,71,74,11803,283,3.59
Karol Bagh,2021-04,11879025,48,88,7644,273,6.5
Karol Bagh,2021-05,11630410,119,77,6016,219,-2.09
Karol Bagh,2021-06,11864239,22,34,7769,312,2.01
Karol Bagh,2021-07,11403498,29,83,11588,79,-3.88
Karol Bagh,2021-08,11738074,60,77,8089,186,2.93
Karol Bagh,2021-09,11789216,51,57,9013,245,0.44
Karol Bagh,2021-10,12164880,58,87,14533,212,3.19
Karol Bagh,2021-11,11795855,44,89,11890,366,-3.03
Karol Bagh,2021-12,11475099,71,44,6325,324,-2.72
Karol Bagh,2022-01,12314874,109,31,11519,227,7.32
Karol Bagh,2022-02,12069815,16,69,11868,326,-1.99
Karol Bagh,2022-03,11618158,63,56,6010,383,-3.74
Karol Bagh,2022-04,12212081,82,67,6127,237,5.11
Karol Bagh,2022-05,12458744,42,39,7038,142,2.02
Karol Bagh,2022-06,13270069,57,37,10334,302,6.51
Karol Bagh,2022-07,13363054,53,62,12282,366,0.7
Karol Bagh,2022-08,13329268,110,49,7438,97,-0.25
Karol Bagh,2022-09,13579465,23,18,12504,173,1.88
Karol Bagh,2022-10,13435586,27,25,10879,184,-1.06
Karol Bagh,2022-11,12786227,69,52,8604,136,-4.83
Karol Bagh,2022-12,13249381,55,74,13315,128,3.62
Karol Bagh,2023-01,13341388,53,80,7036,421,0.69
Karol Bagh,2023-02,13225923,90,63,10885,103,-0.87
Karol Bagh,2023-03,12789994,100,53,8981,362,-3.3
Karol Bagh,2023-04,13102544,102,62,9011,194,2.44
Karol Bagh,2023-05,13349161,34,48,9925,195,1.88
Karol Bagh,2023-06,14052594,46,66,14080,112,5.27
Karol Bagh,2023-07,13816304,91,54,10211,316,-1.68
Karol Bagh,2023-08,14022821,59,78,12247,329,1.49
Karol Bagh,2023-09,14353251,36,16,10446,369,2.36
Karol Bagh,2023-10,15432780,86,53,17882,363,7.52
Karol Bagh,2023-11,14755040,52,62,11429,479,-4.39
Karol Bagh,2023-12,14463291,25,28,7596,53,-1.98
Chattarpur,2021-01,11841915,86,15,6705,76,-1.06
Chattarpur,2021-02,11860000,73,47,7157,229,0.15
Chattarpur,2021-03,12020517,97,37,9844,296,1.35
Chattarpur,2021-04,12327661,97,80,8584,118,2.56
Chattarpur,2021-05,12441840,57,78,6541,382,0.93
Chattarpur,2021-06,12995083,12,23,13765,470,4.45
Chattarpur,2021-07,12913490,102,84,15246,161,-0.63
Chattarpur,2021-08,12807769,55,81,7596,144,-0.82
Chattarpur,2021-09,13754816,56,30,12619,108,7.39
Chattarpur,2021-10,13095086,73,81,9125,270,-4.8
Chattarpur,2021-11,14119405,28,52,7779,159,7.82
Chattarpur,2021-12,13603638,112,31,6926,193,-3.65
Chattarpur,2022-01,14211646,11,52,8893,215,4.47
Chattarpur,2022-02,13526696,66,32,7175,232,-4.82
Chattarpur,2022-03,13668213,15,90,6966,434,1.05
Chattarpur,2022-04,13921518,54,64,7982,254,1.85
Chattarpur,2022-05,13593752,98,62,15020,126,-2.35
Chattarpur,2022-06,12957581,102,63,10407,443,-4.68
Chattarpur,2022-07,13357893,105,67,7450,483,3.09
Chattarpur,2022-08,14319866,64,28,17315,106,7.2
Chattarpur,2022-09,15215716,96,73,8929,386,6.26
Chattarpur,2022-10,14634635,53,51,8175,382,-3.82
Chattarpur,2022-11,15253084,70,56,9790,439,4.23
Chattarpur,2022-12,16044370,52,34,10199,156,5.19
Chattarpur,2023-01,16042257,17,72,9995,210,-0.01
Chattarpur,2023-02,16387226,106,40,13793,114,2.15
Chattarpur,2023-03,15727735,15,55,10354,286,-4.02
Chattarpur,2023-04,16550352,33,32,10402,53,5.23
Chattarpur,2023-05,17583664,12,87,15119,261,6.24
Chattarpur,2023-06,17991167,45,59,16063,385,2.32
Chattarpur,2023-07,18547217,92,66,11413,273,3.09
Chattarpur,2023-08,19070386,89,44,9794,196,2.82
Chattarpur,2023-09,18241913,103,57,14375,485,-4.34
Chattarpur,2023-10,18908809,47,51,18574,458,3.66
Chattarpur,2023-11,18270598,113,61,19645,423,-3.38
Chattarpur,2023-12,19150319,82,42,17159,289,4.81
