Property ID,Property Type,Price (INR),Location,Bedrooms,Bathrooms,Square Footage,Amenities,Year Built,Property Description
PROP-0034,Villa,5936593,Karol Bagh,3,3,1050,"Clubhouse, Swimming Pool, 24/7 Water Supply, Lift",2021,Spacious and well-lit with modern amenities.
PROP-0035,Condo,16880100,Connaught Place,2,2,700,"Power Backup, Swimming Pool, Lift",1983,A cozy home with a stunning view.
PROP-0036,Apartment,191265272,Vasant Kunj,6,4,4317,"Parking, Clubhouse, Swimming Pool, Garden",2001,Luxury property with top-notch features.
PROP-0037,House,90015502,Vasant Kunj,3,1,2292,"Clubhouse, 24/7 Water Supply, Garden",1991,Affordable yet stylish and comfortable.
PROP-0038,Apartment,195705971,Greater Kailash,2,1,2050,"Clubhouse, 24/7 Water Supply",1999,Spacious and well-lit with modern amenities.
PROP-0039,Apartment,39510070,Lajpat Nagar,4,2,4577,"Clubhouse, Lift, Power Backup, Garden, Gym",2020,Spacious and well-lit with modern amenities.
PROP-0040,Villa,45161930,Chattarpur,6,1,4253,"Clubhouse, Security",1982,A cozy home with a stunning view.
PROP-0041,Villa,87810619,Chattarpur,4,1,4162,"Power Backup, Gym, 24/7 Water Supply, Security, Garden",2013,A cozy home with a stunning view.
PROP-0042,Apartment,87519834,Karol Bagh,5,1,3424,"Clubhouse, Security",1982,A cozy home with a stunning view.
PROP-0043,Condo,119358785,Vasant Kunj,6,3,2368,"Lift, Parking",1982,Luxury property with top-notch features.
PROP-0044,House,153507646,South Extension,2,2,1884,"Swimming Pool, Power Backup, Security, Clubhouse",1991,Affordable yet stylish and comfortable.
PROP-0045,Condo,84562437,Lajpat Nagar,5,3,3124,"Power Backup, Gym",2014,Affordable yet stylish and comfortable.
PROP-0046,Villa,32079937,Saket,5,1,2082,"Parking, Clubhouse, Security, 24/7 Water Supply",1996,Luxury property with top-notch features.
PROP-0047,Apartment,46104539,Chattarpur,2,2,2793,"Lift, Garden, Power Backup, Security, Gym",2009,Spacious and well-lit with modern amenities.
PROP-0048,Condo,48167255,Vasant Kunj,1,3,4103,"Garden, 24/7 Water Supply",2003,Affordable yet stylish and comfortable.
PROP-0049,Villa,26325778,Dwarka,6,1,3547,"Parking, Power Backup, Garden, 24/7 Water Supply, Gym",2017,Affordable yet stylish and comfortable.
PROP-0050,Condo,75310385,Karol Bagh,2,2,3850,"Clubhouse, Parking, Garden",1988,Affordable yet stylish and comfortable.
PROP-0051,House,156669665,Rohini,2,4,2732,"24/7 Water Supply, Gym",2010,Spacious and well-lit with modern amenities.
PROP-0052,Condo,22255979,Saket,1,3,1243,"Lift, Clubhouse",2017,"Ideal for families, located in a prime area."
PROP-0053,Apartment,40173115,Connaught Place,2,4,1319,"24/7 Water Supply, Garden, Parking, Gym, Power Backup",2000,A cozy home with a stunning view.
PROP-0054,Apartment,11589888,Dwarka,5,3,556,"Swimming Pool, Security, Parking",2016,Newly renovated with smart home features.
PROP-0055,Apartment,78749598,Rohini,2,3,2455,"Swimming Pool, Garden",1987,"Ideal for families, located in a prime area."
PROP-0056,Apartment,39010545,Karol Bagh,4,4,2052,"Power Backup, Gym, 24/7 Water Supply",2019,Newly renovated with smart home features.
PROP-0057,Condo,126307756,South Extension,6,4,1254,"Power Backup, Garden",2005,A cozy home with a stunning view.
PROP-0058,Villa,72069709,Greater Kailash,1,2,2524,"Clubhouse, Security, 24/7 Water Supply, Swimming Pool, Parking",2016,Luxury property with top-notch features.
PROP-0059,House,13502334,South Extension,3,4,3232,"Power Backup, Gym, Garden, 24/7 Water Supply, Security",1980,"Ideal for families, located in a prime area."
PROP-0060,House,52082183,Preet Vihar,2,1,4722,"Lift, Gym, Parking",2020,Affordable yet stylish and comfortable.
PROP-0061,House,153531607,Vasant Kunj,6,3,2636,"24/7 Water Supply, Security",2016,A cozy home with a stunning view.
PROP-0062,Apartment,107830072,Connaught Place,2,1,4357,"Clubhouse, Security",2000,Newly renovated with smart home features.
PROP-0063,Condo,73579381,Dwarka,1,3,4494,"Swimming Pool, Garden",1991,Luxury property with top-notch features.
PROP-0064,Condo,128808412,Rohini,6,3,893,"Gym, Security",1983,Luxury property with top-notch features.
PROP-0065,House,54471084,Preet Vihar,3,3,1940,"Garden, Clubhouse",2003,Newly renovated with smart home features.
PROP-0066,Villa,154348158,Vasant Kunj,6,3,2171,"Power Backup, Lift, Swimming Pool, Security, Garden",2006,Luxury property with top-notch features.
PROP-0067,Condo,122208746,Saket,4,2,793,"Lift, 24/7 Water Supply",1982,Newly renovated with smart home features.
PROP-0068,Condo,114466768,Saket,5,2,613,"Clubhouse, Power Backup",1992,Newly renovated with smart home features.
PROP-0069,Apartment,154650508,Lajpat Nagar,1,2,4497,"Lift, Clubhouse, Gym, Swimming Pool, Parking",2014,Spacious and well-lit with modern amenities.
PROP-0070,Villa,167784648,Karol Bagh,5,1,3519,"Parking, Lift, Security, Swimming Pool, Clubhouse",2020,Spacious and well-lit with modern amenities.
PROP-0071,House,24666800,Lajpat Nagar,3,4,1185,"24/7 Water Supply, Power Backup, Clubhouse, Garden",2010,Newly renovated with smart home features.
PROP-0072,Villa,144735774,Lajpat Nagar,1,2,4656,"Clubhouse, Power Backup, 24/7 Water Supply",2016,"Ideal for families, located in a prime area."
PROP-0073,Apartment,199598539,Dwarka,4,1,4156,"Security, Swimming Pool, Lift",1999,"Ideal for families, located in a prime area."
PROP-0074,Condo,156559084,Rohini,4,1,4329,"Swimming Pool, Garden, Gym, Security, 24/7 Water Supply",1983,Luxury property with top-notch features.
PROP-0075,Apartment,40751880,Rohini,2,1,3037,"24/7 Water Supply, Parking",1997,Luxury property with top-notch features.
PROP-0076,Villa,193119200,Saket,3,3,580,"Security, Clubhouse, Garden, Power Backup",2005,Luxury property with top-notch features.
PROP-0077,House,109671264,South Extension,4,3,835,"24/7 Water Supply, Garden, Lift, Power Backup",2003,Spacious and well-lit with modern amenities.
PROP-0078,Apartment,167780447,Pitampura,4,3,2388,"24/7 Water Supply, Security, Power Backup",1998,Affordable yet stylish and comfortable.
PROP-0079,Villa,168966716,Karol Bagh,5,1,4742,"Security, 24/7 Water Supply, Gym, Lift",1995,Affordable yet stylish and comfortable.
PROP-0080,House,167186138,Connaught Place,3,1,2262,"24/7 Water Supply, Gym, Garden",1993,Luxury property with top-notch features.
PROP-0081,Condo,183681260,Dwarka,5,3,4183,"Gym, 24/7 Water Supply, Swimming Pool, Garden, Lift",2006,"Ideal for families, located in a prime area."
PROP-0082,Condo,31734621,Chattarpur,2,3,1499,"Parking, Swimming Pool, Clubhouse, Garden, Security",2021,Affordable yet stylish and comfortable.
PROP-0083,Condo,103547989,Pitampura,5,2,4116,"Power Backup, 24/7 Water Supply, Lift, Gym, Clubhouse",1996,Newly renovated with smart home features.
PROP-0084,Villa,94370086,Rohini,3,1,4949,"Lift, Gym, Security, Swimming Pool, Garden",2006,A cozy home with a stunning view.
PROP-0085,Condo,129172189,Connaught Place,4,1,2822,"Security, 24/7 Water Supply, Garden",1994,Newly renovated with smart home features.
PROP-0086,Apartment,165482868,Saket,2,1,1965,"Power Backup, Swimming Pool, Garden",1998,A cozy home with a stunning view.
PROP-0087,House,151797465,Saket,4,4,943,"Garden, Power Backup",2000,Spacious and well-lit with modern amenities.
PROP-0088,Condo,13272218,Rohini,6,3,2806,"Power Backup, Parking, 24/7 Water Supply",1991,Luxury property with top-notch features.
PROP-0089,Condo,142533022,Chattarpur,3,1,1531,"Security, Garden",1983,A cozy home with a stunning view.
PROP-0090,House,131867841,Greater Kailash,1,3,1256,"24/7 Water Supply, Security, Swimming Pool, Lift",1995,"Ideal for families, located in a prime area."
PROP-0091,Condo,102619432,Greater Kailash,6,3,3108,"24/7 Water Supply, Parking, Gym, Lift, Power Backup",2004,A cozy home with a stunning view.
PROP-0092,Condo,115408200,South Extension,6,4,3551,"Garden, Swimming Pool",1997,Spacious and well-lit with modern amenities.
PROP-0093,Villa,78440844,Vasant Kunj,6,1,3547,"24/7 Water Supply, Swimming Pool, Gym, Clubhouse, Power Backup",2006,Spacious and well-lit with modern amenities.
PROP-0094,Condo,62690788,Karol Bagh,6,4,1901,"Power Backup, Lift",1985,Luxury property with top-notch features.
PROP-0095,Villa,157425447,Connaught Place,2,2,3004,"Clubhouse, Swimming Pool, 24/7 Water Supply",1980,A cozy home with a stunning view.
PROP-0096,House,194815887,Rohini,1,1,1149,"Parking, Gym, Security",1985,Affordable yet stylish and comfortable.
PROP-0097,House,25808943,Lajpat Nagar,2,4,3271,"Clubhouse, Parking, Garden",2015,Affordable yet stylish and comfortable.
PROP-0098,House,133691304,South Extension,4,2,4038,"Security, Gym, Swimming Pool",2012,Affordable yet stylish and comfortable.
PROP-0099,Villa,180178052,Rohini,4,3,1192,"Parking, Power Backup, 24/7 Water Supply",1998,Newly renovated with smart home features.
PROP-0100,Villa,69975234,South Extension,1,4,2782,"Clubhouse, Security, 24/7 Water Supply, Parking, Swimming Pool",2010,Spacious and well-lit with modern amenities.
PROP-0101,Condo,165001288,Karol Bagh,6,4,2308,"Swimming Pool, Lift, Gym",1980,Newly renovated with smart home features.
PROP-0102,House,156172378,South Extension,1,1,1626,"Power Backup, Garden",2006,Spacious and well-lit with modern amenities.
PROP-0103,Villa,124317626,South Extension,5,4,3313,"Security, Power Backup, Clubhouse",1998,Affordable yet stylish and comfortable.
PROP-0104,Villa,172792119,Lajpat Nagar,4,1,1298,"Security, Gym, Lift",1997,Spacious and well-lit with modern amenities.
PROP-0105,Villa,105882948,South Extension,1,3,3090,"Garden, Clubhouse, 24/7 Water Supply",2004,A cozy home with a stunning view.
PROP-0106,Condo,138714279,Greater Kailash,4,3,710,"Garden, Power Backup, 24/7 Water Supply, Gym, Clubhouse",2002,Luxury property with top-notch features.
PROP-0107,House,57677712,Dwarka,1,1,1367,"24/7 Water Supply, Parking, Swimming Pool",2001,"Ideal for families, located in a prime area."
PROP-0108,Villa,75703359,Vasant Kunj,2,1,4772,"Garden, Swimming Pool, Power Backup, 24/7 Water Supply, Security",2016,"Ideal for families, located in a prime area."
PROP-0109,Villa,190938133,Dwarka,6,3,3442,"Parking, Clubhouse, Garden, 24/7 Water Supply",2011,Newly renovated with smart home features.
PROP-0110,House,152418258,Karol Bagh,6,3,4347,"Swimming Pool, Security",1983,Newly renovated with smart home features.
PROP-0111,Apartment,8379944,Karol Bagh,2,1,3274,"Lift, Gym",2017,Spacious and well-lit with modern amenities.
PROP-0112,Apartment,33658987,Greater Kailash,4,3,2862,"Parking, Clubhouse, Garden",2012,A cozy home with a stunning view.
PROP-0113,Apartment,197906933,Vasant Kunj,1,1,3833,"24/7 Water Supply, Clubhouse",1984,Newly renovated with smart home features.
PROP-0114,Villa,127164115,Dwarka,5,3,4177,"Security, Lift, Swimming Pool, Clubhouse, Gym",1997,Affordable yet stylish and comfortable.
PROP-0115,House,166003760,Dwarka,5,3,1959,"Security, Power Backup, Swimming Pool, Gym, Lift",1993,Newly renovated with smart home features.
PROP-0116,House,143036434,Lajpat Nagar,1,4,2694,"Parking, Gym",2023,Affordable yet stylish and comfortable.
PROP-0117,Villa,106828508,Greater Kailash,4,4,2198,"Lift, Swimming Pool, Power Backup, 24/7 Water Supply",2001,A cozy home with a stunning view.
PROP-0118,Apartment,38389222,Karol Bagh,5,1,1453,"24/7 Water Supply, Power Backup, Parking, Lift",2009,Luxury property with top-notch features.
PROP-0119,Condo,32254820,Pitampura,6,2,3833,"Parking, Lift, Swimming Pool",2016,Newly renovated with smart home features.
PROP-0120,House,190484576,Preet Vihar,3,1,1288,"Parking, Swimming Pool, Clubhouse",2022,A cozy home with a stunning view.
PROP-0121,House,183255468,Greater Kailash,5,3,1361,"Power Backup, Security, 24/7 Water Supply",2003,A cozy home with a stunning view.
PROP-0122,Apartment,100298334,Preet Vihar,3,3,4266,"24/7 Water Supply, Security, Garden",2004,A cozy home with a stunning view.
PROP-0123,Villa,4554389,Connaught Place,1,4,3324,"24/7 Water Supply, Clubhouse, Gym, Swimming Pool, Security",1998,A cozy home with a stunning view.
PROP-0124,House,12893394,Rohini,3,4,3853,"24/7 Water Supply, Gym, Power Backup, Garden, Security",2005,Newly renovated with smart home features.
PROP-0125,Villa,23469839,South Extension,4,3,4564,"Security, Clubhouse",2001,Newly renovated with smart home features.
PROP-0126,Condo,25457816,Rohini,4,1,3975,"Gym, 24/7 Water Supply",1995,Affordable yet stylish and comfortable.
PROP-0127,Condo,74437215,Dwarka,6,3,3159,"Parking, Garden",2007,Newly renovated with smart home features.
PROP-0128,Condo,166840739,Dwarka,5,1,4374,"Parking, Gym, 24/7 Water Supply",1993,Spacious and well-lit with modern amenities.
PROP-0129,Condo,26330673,Chattarpur,6,3,2188,"Security, Gym, Garden, Parking",1990,Affordable yet stylish and comfortable.
PROP-0130,Villa,159057658,Greater Kailash,5,1,2124,"Security, Power Backup",1990,Affordable yet stylish and comfortable.
PROP-0131,Apartment,57119405,Preet Vihar,1,3,3163,"Parking, Lift, Garden",1988,Luxury property with top-notch features.
PROP-0132,Condo,81770845,Preet Vihar,5,1,2867,"Security, 24/7 Water Supply, Parking, Clubhouse",2003,Spacious and well-lit with modern amenities.
PROP-0133,Apartment,84939052,Rohini,3,2,3418,"Gym, Clubhouse",1993,Affordable yet stylish and comfortable.
PROP-0134,Apartment,166403140,Pitampura,5,4,905,"Security, Swimming Pool, Gym",2001,Spacious and well-lit with modern amenities.
PROP-0135,Condo,124680075,Karol Bagh,2,2,3694,"Lift, Clubhouse, Swimming Pool",1989,Affordable yet stylish and comfortable.
PROP-0136,Condo,184648733,Connaught Place,5,2,905,"Parking, Gym, Swimming Pool",2014,Luxury property with top-notch features.
PROP-0137,Condo,49155343,Karol Bagh,5,4,4304,"Lift, 24/7 Water Supply",2005,Luxury property with top-notch features.
PROP-0138,Apartment,7764906,Preet Vihar,6,3,2686,"Security, Power Backup",1993,Newly renovated with smart home features.
PROP-0139,Villa,160085538,Dwarka,1,2,3957,"Security, Clubhouse, Lift, Power Backup",2000,Newly renovated with smart home features.
PROP-0140,Villa,23665094,Greater Kailash,6,3,848,"Swimming Pool, Security, Lift, 24/7 Water Supply",2023,Affordable yet stylish and comfortable.
PROP-0141,Condo,135308128,Vasant Kunj,1,1,3068,"24/7 Water Supply, Security",1983,Newly renovated with smart home features.
PROP-0142,Apartment,181064730,Vasant Kunj,5,2,2476,"Power Backup, Parking, Security, Swimming Pool, 24/7 Water Supply",2016,Affordable yet stylish and comfortable.
PROP-0143,House,171281236,Saket,6,2,1391,"Garden, Power Backup",2002,"Ideal for families, located in a prime area."
PROP-0144,Villa,157280025,Greater Kailash,1,1,1836,"Swimming Pool, Parking, Clubhouse, Garden",2019,Luxury property with top-notch features.
PROP-0145,Condo,170680886,Chattarpur,3,3,2124,"Security, Swimming Pool, 24/7 Water Supply",2002,Affordable yet stylish and comfortable.
PROP-0146,House,198372443,Connaught Place,6,1,2406,"Gym, Power Backup, Lift, Clubhouse, Garden",2014,Affordable yet stylish and comfortable.
PROP-0147,Condo,62744637,Connaught Place,3,3,3223,"Clubhouse, Gym, Parking",1994,Newly renovated with smart home features.
PROP-0148,House,10083773,South Extension,6,2,517,"Swimming Pool, Power Backup, Garden",2023,Newly renovated with smart home features.
PROP-0149,House,143126798,Saket,1,4,3400,"Lift, Clubhouse, 24/7 Water Supply, Swimming Pool, Garden",2013,A cozy home with a stunning view.
PROP-0150,Condo,154810840,Preet Vihar,6,1,558,"Parking, Security, Lift, Swimming Pool, 24/7 Water Supply",2006,Newly renovated with smart home features.
PROP-0151,House,128897517,Chattarpur,4,3,1849,"Parking, Power Backup, Garden, 24/7 Water Supply",2012,Luxury property with top-notch features.
PROP-0152,House,170927249,South Extension,2,2,3967,"Lift, Security, Swimming Pool",2013,Affordable yet stylish and comfortable.
PROP-0153,Condo,82774978,Karol Bagh,3,4,4991,"Gym, Clubhouse",1990,A cozy home with a stunning view.
PROP-0154,Apartment,46237322,Pitampura,6,2,2416,"Clubhouse, Parking",2000,"Ideal for families, located in a prime area."
PROP-0155,House,122926728,Vasant Kunj,3,3,2311,"24/7 Water Supply, Security",1989,Affordable yet stylish and comfortable.
PROP-0156,Villa,194258101,Saket,2,3,2953,"24/7 Water Supply, Lift",2004,Newly renovated with smart home features.
PROP-0157,Apartment,162363224,Greater Kailash,6,1,4535,"Garden, 24/7 Water Supply",1987,Luxury property with top-notch features.
PROP-0158,Villa,68634165,Preet Vihar,4,3,2395,"Gym, Swimming Pool",1995,A cozy home with a stunning view.
PROP-0159,Condo,21746135,Rohini,1,4,3377,"24/7 Water Supply, Garden, Clubhouse",1998,Spacious and well-lit with modern amenities.
PROP-0160,Villa,70314500,Greater Kailash,4,4,4639,"Gym, Lift, Swimming Pool, Garden, Security",1996,Affordable yet stylish and comfortable.
PROP-0161,Apartment,176631729,Dwarka,3,2,1366,"Clubhouse, Security, Power Backup",2020,Spacious and well-lit with modern amenities.
PROP-0162,Condo,110439625,Dwarka,6,3,1097,"Garden, Parking, Power Backup",1988,Affordable yet stylish and comfortable.
PROP-0163,Villa,104083776,Pitampura,2,3,3768,"Power Backup, 24/7 Water Supply",2019,A cozy home with a stunning view.
PROP-0164,Apartment,158528561,Karol Bagh,1,1,2366,"24/7 Water Supply, Garden, Lift, Parking, Swimming Pool",2013,A cozy home with a stunning view.
PROP-0165,House,40393351,Karol Bagh,1,3,956,"Security, Garden, Swimming Pool",1990,"Ideal for families, located in a prime area."
PROP-0166,Villa,84075576,South Extension,6,1,3144,"Garden, 24/7 Water Supply, Parking, Security, Swimming Pool",2010,"Ideal for families, located in a prime area."
PROP-0167,Villa,45882561,Karol Bagh,4,1,2088,"Garden, Swimming Pool, Security, Parking, 24/7 Water Supply",2007,"Ideal for families, located in a prime area."
PROP-0168,Apartment,54273934,Saket,6,3,2053,"Garden, Swimming Pool, Parking",2003,Spacious and well-lit with modern amenities.
PROP-0169,Villa,122757917,Saket,4,4,4271,"Parking, Security, Garden, Gym",1994,Spacious and well-lit with modern amenities.
PROP-0170,Villa,124222688,Greater Kailash,4,1,3241,"Security, Clubhouse, Garden, Parking",2009,Luxury property with top-notch features.
PROP-0171,Villa,71646053,Greater Kailash,4,4,1360,"Security, 24/7 Water Supply, Lift",1989,Newly renovated with smart home features.
PROP-0172,Condo,22087910,Preet Vihar,4,4,1637,"24/7 Water Supply, Gym, Lift",2023,Newly renovated with smart home features.
PROP-0173,House,40151951,Lajpat Nagar,1,4,3384,"Gym, 24/7 Water Supply, Swimming Pool",1999,Spacious and well-lit with modern amenities.
PROP-0174,Apartment,121446736,Preet Vihar,5,1,1327,"Security, Lift, Parking, Swimming Pool, Power Backup",2001,Luxury property with top-notch features.
PROP-0175,Apartment,155592904,Rohini,2,1,4456,"24/7 Water Supply, Gym, Power Backup, Swimming Pool, Garden",1992,Affordable yet stylish and comfortable.
PROP-0176,Apartment,56462899,Lajpat Nagar,6,2,1487,"Power Backup, Parking, Lift, Security",2007,Newly renovated with smart home features.
PROP-0177,House,95764329,Saket,5,3,3060,"Parking, Power Backup, Security, Garden",2010,Newly renovated with smart home features.
PROP-0178,House,46037571,Connaught Place,1,2,3408,"Garden, Parking, 24/7 Water Supply, Swimming Pool",2004,Luxury property with top-notch features.
PROP-0179,House,132793018,Greater Kailash,1,3,2596,"Lift, Power Backup, Security, Swimming Pool, Parking",1989,Spacious and well-lit with modern amenities.
PROP-0180,Condo,47604236,Karol Bagh,6,4,2704,"Gym, Parking",2011,Affordable yet stylish and comfortable.
PROP-0181,Apartment,65104699,Preet Vihar,4,4,1180,"Parking, Lift",1991,A cozy home with a stunning view.
PROP-0182,Villa,8315971,Connaught Place,2,2,614,"Swimming Pool, Parking, Lift, Security",2000,Newly renovated with smart home features.
PROP-0183,Villa,65032018,Chattarpur,3,1,3512,"Swimming Pool, Parking, Lift, Power Backup, Gym",1986,Luxury property with top-notch features.
PROP-0184,Apartment,4323325,Lajpat Nagar,3,3,4378,"Clubhouse, Power Backup, Parking",1993,Affordable yet stylish and comfortable.
PROP-0185,Villa,90779368,Dwarka,4,2,4988,"Power Backup, 24/7 Water Supply, Security, Clubhouse, Parking",2005,Newly renovated with smart home features.
PROP-0186,Apartment,96144164,South Extension,4,4,3233,"Swimming Pool, Garden, Security, Gym, Clubhouse",1982,Affordable yet stylish and comfortable.
PROP-0187,House,194083471,Karol Bagh,1,3,1335,"Clubhouse, Gym",1983,A cozy home with a stunning view.
PROP-0188,Villa,42969765,Connaught Place,4,4,1085,"Lift, Garden",1988,Affordable yet stylish and comfortable.
PROP-0189,House,12026038,Greater Kailash,1,4,4274,"Lift, Gym, Parking, 24/7 Water Supply, Swimming Pool",1986,A cozy home with a stunning view.
PROP-0190,Villa,6863587,Preet Vihar,6,4,4866,"Lift, Swimming Pool, Garden, Clubhouse",1985,Spacious and well-lit with modern amenities.
PROP-0191,Villa,133703475,Greater Kailash,6,4,1010,"Swimming Pool, 24/7 Water Supply, Parking, Clubhouse, Garden",1992,Newly renovated with smart home features.
PROP-0192,Apartment,126571278,Dwarka,1,1,3645,"Security, Parking, 24/7 Water Supply, Swimming Pool, Lift",1982,Newly renovated with smart home features.
PROP-0193,Villa,66226406,Vasant Kunj,6,4,3362,"Security, Gym, Clubhouse, Swimming Pool",2023,A cozy home with a stunning view.
PROP-0194,House,144177303,Karol Bagh,3,3,1639,"24/7 Water Supply, Gym, Garden, Lift",2007,Newly renovated with smart home features.
PROP-0195,Villa,21659995,South Extension,2,1,861,"24/7 Water Supply, Parking, Garden",2003,Newly renovated with smart home features.
PROP-0196,Condo,101842059,Chattarpur,3,2,4216,"Garden, Gym, Power Backup, 24/7 Water Supply, Lift",1980,Affordable yet stylish and comfortable.
PROP-0197,Condo,152791913,Rohini,4,4,2739,"Swimming Pool, Clubhouse",1998,A cozy home with a stunning view.
PROP-0198,House,92891113,South Extension,2,4,597,"Gym, Swimming Pool, Garden, Clubhouse",1995,A cozy home with a stunning view.
PROP-0199,Villa,79608494,Lajpat Nagar,2,1,1858,"Clubhouse, Lift, Parking, 24/7 Water Supply, Garden",1988,Spacious and well-lit with modern amenities.
PROP-0200,Villa,62991636,Dwarka,3,2,4682,"Parking, 24/7 Water Supply, Gym, Power Backup, Garden",2006,"Ideal for families, located in a prime area."
PROP-0201,Apartment,174345077,Saket,3,4,3416,"24/7 Water Supply, Parking",2005,Spacious and well-lit with modern amenities.
PROP-0202,House,134154285,Karol Bagh,5,1,3502,"Garden, Gym, Swimming Pool",2007,Luxury property with top-notch features.
PROP-0203,Villa,21518233,Chattarpur,3,3,3228,"Gym, Power Backup, Clubhouse, Parking",1992,Luxury property with top-notch features.
PROP-0204,Condo,97343632,Vasant Kunj,3,2,853,"Power Backup, Lift",2013,Affordable yet stylish and comfortable.
PROP-0205,Villa,24388387,Dwarka,2,1,1791,"Lift, Parking, Clubhouse",2006,Luxury property with top-notch features.
PROP-0206,Villa,77253058,Lajpat Nagar,5,4,819,"Lift, Clubhouse, Power Backup, Security",1989,"Ideal for families, located in a prime area."
PROP-0207,Apartment,116961983,Saket,2,4,2197,"Lift, 24/7 Water Supply",2009,A cozy home with a stunning view.
PROP-0208,Apartment,110494880,Pitampura,6,3,4633,"Garden, Clubhouse, Parking",2005,Newly renovated with smart home features.
PROP-0209,Condo,62487760,South Extension,1,3,4267,"24/7 Water Supply, Garden",1985,Affordable yet stylish and comfortable.
